"SCHOOL_YEAR","DATA_LEVEL","PUBLIC_OR_INDEPENDENT","DISTRICT_NUMBER","DISTRICT_NAME","MINCODE","SCHOOL_NAME","NUM_OF_SCHOOLS_IN_DATA_LEVEL","TOTAL_CLASSES","CLASSES_WITH_ED_ASSIST","TOTAL_CLASSES_GREATER_30","AVG_CLASS_SIZE_K","AVG_CLASS_SIZE_1_3","AVG_CLASS_SIZE_4_7","AVG_CLASS_SIZE_8_12"
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262015","Savory Elementary","1","7","3","","    20.0","    18.8","    25.7",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262015","Savory Elementary","1","7","2","","    14.5","    20.4","    26.7",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262015","Savory Elementary","1","7","4","","    22.0","    17.0","    24.0",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262015","Savory Elementary","1","7","4","","    22.0","    23.0","    22.7",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262015","Savory Elementary","1","7","7","","    16.7","    20.8","    27.5",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262015","Savory Elementary","1","7","7","","    18.2","    21.8","    29.0",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262015","Savory Elementary","1","8","8","","    18.5","    21.3","    27.9",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262015","Savory Elementary","1","9","9","","    18.0","    20.6","    26.2",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262015","Savory Elementary","1","9","7","","    17.8","    21.3","    24.6",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262016","Dunsmuir Middle School","1","245","75","11","","","    25.4","    27.1"
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262016","Dunsmuir Middle School","1","231","64","17","","","    28.2","    27.0"
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262016","Dunsmuir Middle School","1","211","75","9","","","    25.2","    23.9"
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262016","Dunsmuir Middle School","1","209","30","8","","","    26.0","    24.7"
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262016","Dunsmuir Middle School","1","204","134","3","","","    28.6","    26.3"
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262016","Dunsmuir Middle School","1","196","43","13","","","    25.2","    26.4"
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262016","Dunsmuir Middle School","1","201","60","4","","","    27.0","    25.0"
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262016","Dunsmuir Middle School","1","256","66","","","","    25.6","    22.4"
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262016","Dunsmuir Middle School","1","233","65","4","","","    26.0","    23.9"
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262016","Dunsmuir Middle School","1","25","13","","","","    27.9","    27.9"
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262016","Dunsmuir Middle School","1","27","21","","","","    27.5","    27.0"
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262016","Dunsmuir Middle School","1","31","22","","","","    24.0","    24.4"
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262016","Dunsmuir Middle School","1","31","26","","","","    25.8","    26.0"
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262018","Hans Helgesen Elementary","1","8","6","","    22.0","    22.2","    28.0",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262018","Hans Helgesen Elementary","1","9","9","","    22.0","    18.8","    25.0",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262018","Hans Helgesen Elementary","1","8","6","","    18.0","    20.3","    29.7",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262018","Hans Helgesen Elementary","1","9","5","","    16.5","    19.9","    24.0",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262018","Hans Helgesen Elementary","1","7","5","","    19.0","    23.1","    28.3",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262018","Hans Helgesen Elementary","1","9","8","","    15.5","    19.0","    27.7",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262018","Hans Helgesen Elementary","1","8","6","","    16.5","    23.3","    25.8",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262018","Hans Helgesen Elementary","1","8","6","","    19.0","    20.8","    24.3",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262018","Hans Helgesen Elementary","1","8","7","","    19.3","    22.0","    24.7",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262018","Hans Helgesen Elementary","1","7","7","","    17.9","    20.2","    24.5",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262018","Hans Helgesen Elementary","1","7","7","","    19.7","    22.5","    28.0",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262018","Hans Helgesen Elementary","1","9","6","","    18.3","    21.1","    24.4",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262018","Hans Helgesen Elementary","1","9","9","","    19.0","    20.5","    26.5",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262019","John Stubbs Memorial Elementary","1","17","10","","    17.7","    21.1","    27.2",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262019","John Stubbs Memorial Elementary","1","18","8","","    19.7","    22.4","    24.9",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262020","John Muir Elementary","1","8","8","","    19.4","    21.5","    29.0",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262020","John Muir Elementary","1","8","6","","    16.8","    20.8","    27.7",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262020","John Muir Elementary","1","7","6","","    20.0","    22.0","    26.7",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262020","John Muir Elementary","1","8","4","","    16.5","    20.9","    25.2",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262020","John Muir Elementary","1","8","","","    21.5","    21.2","    26.5",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262020","John Muir Elementary","1","8","8","","    15.0","    23.5","    27.0",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262020","John Muir Elementary","1","7","6","","    21.0","    23.4","    24.7",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262020","John Muir Elementary","1","8","8","","    16.0","    22.3","    27.5",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262020","John Muir Elementary","1","8","5","","    19.5","    24.0","    29.0",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262020","John Muir Elementary","1","9","9","","    18.0","    22.4","    27.8",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262020","John Muir Elementary","1","9","8","","    15.5","    23.4","    28.0",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262020","John Muir Elementary","1","9","5","","    18.4","    19.8","    25.3",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262020","John Muir Elementary","1","10","5","","    17.5","    21.0","    25.0",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262021","David Cameron Elementary","1","11","9","","    15.0","    20.5","    28.0",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262021","David Cameron Elementary","1","9","8","","    19.0","    20.8","    27.0",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262021","David Cameron Elementary","1","13","9","","    19.0","    21.3","    29.4",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262021","David Cameron Elementary","1","14","9","","    18.0","    22.5","    24.7",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262021","David Cameron Elementary","1","14","11","","    17.1","    23.0","    27.8",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262021","David Cameron Elementary","1","13","8","","    17.7","    23.6","    29.1",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262021","David Cameron Elementary","1","13","11","","    22.0","    21.3","    27.7",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262021","David Cameron Elementary","1","13","8","","    19.3","    22.9","    29.6",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262021","David Cameron Elementary","1","14","11","","    21.8","    22.7","    27.6",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262021","David Cameron Elementary","1","13","12","","    20.0","    22.8","    29.0",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262021","David Cameron Elementary","1","14","12","","    21.0","    23.0","    28.5",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262021","David Cameron Elementary","1","16","14","","    20.0","    21.1","    25.3",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262021","David Cameron Elementary","1","17","14","","    19.7","    21.3","    25.4",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262022","Wishart Elementary","1","15","11","","    16.0","    22.1","    28.2",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262022","Wishart Elementary","1","14","10","","    19.8","    20.8","    29.5",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262022","Wishart Elementary","1","14","5","","    21.0","    19.5","    28.7",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262022","Wishart Elementary","1","13","5","","    20.0","    22.2","    29.1",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262022","Wishart Elementary","1","14","11","","    20.3","    19.8","    29.0",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262022","Wishart Elementary","1","13","7","","    19.5","    22.5","    28.2",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262022","Wishart Elementary","1","12","4","","    22.0","    24.0","    29.3",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262022","Wishart Elementary","1","14","6","","    22.0","    23.1","    24.8",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262022","Wishart Elementary","1","14","7","","    19.5","    22.1","    28.3",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262022","Wishart Elementary","1","13","8","","    22.0","    22.5","    28.3",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262022","Wishart Elementary","1","13","9","","    20.0","    22.6","    28.0",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262022","Wishart Elementary","1","15","10","","    18.7","    21.2","    25.0",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262022","Wishart Elementary","1","16","13","","    18.0","    21.2","    26.8",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262023","John Stubbs Middle","1","32","10","8","    21.3","    22.3","    26.1","    32.3"
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262023","John Stubbs Middle","1","127","22","10","","","    22.5","    25.2"
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262023","John Stubbs Middle","1","131","38","2","    17.5","    21.7","    22.9","    21.8"
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262023","John Stubbs Middle","1","120","10","","    16.7","    19.3","    21.4","    21.7"
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262023","John Stubbs Middle","1","72","4","","","","    23.6","    26.8"
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262023","John Stubbs Middle","1","113","25","","","","    22.8","    20.6"
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262023","John Stubbs Middle","1","98","18","","","","    21.4","    19.8"
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262023","John Stubbs Middle","1","8","5","","","","    22.1","    22.1"
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262023","John Stubbs Middle","1","7","3","","","","    27.0","    25.9"
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262023","John Stubbs Middle","1","9","2","","","","    24.5","    25.1"
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262023","John Stubbs Middle","1","11","4","","","","    24.3","    24.7"
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262025","Spencer Middle School","1","301","107","11","","","    27.8","    26.8"
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262025","Spencer Middle School","1","254","63","17","","","    28.1","    26.8"
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262025","Spencer Middle School","1","211","43","23","","","    27.9","    26.4"
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262025","Spencer Middle School","1","201","7","9","","","    28.4","    26.7"
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262025","Spencer Middle School","1","179","16","43","","","    25.4","    29.5"
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262025","Spencer Middle School","1","154","12","19","","","    28.8","    27.6"
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262025","Spencer Middle School","1","196","35","4","","","    26.1","    25.0"
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262025","Spencer Middle School","1","255","67","","","","    25.9","    23.8"
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262025","Spencer Middle School","1","150","44","3","","","    28.7","    27.7"
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262025","Spencer Middle School","1","22","15","","","","    29.1","    29.1"
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262025","Spencer Middle School","1","24","16","","","","    28.9","    29.3"
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262025","Spencer Middle School","1","30","12","","","","    25.6","    24.7"
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262025","Spencer Middle School","1","30","9","","","","    25.8","    25.7"
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262026","Willway Elementary","1","7","3","","    19.0","    23.0","    25.3",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262026","Willway Elementary","1","8","3","","    17.5","    21.7","    23.0",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262026","Willway Elementary","1","7","","","    22.0","    22.2","    28.4",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262026","Willway Elementary","1","8","7","","    21.0","    20.0","    23.7",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262026","Willway Elementary","1","9","6","","    18.0","    20.5","    23.3",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262026","Willway Elementary","1","8","5","","    22.0","    23.0","    26.7",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262026","Willway Elementary","1","9","5","","    14.5","    22.8","    27.7",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262026","Willway Elementary","1","8","5","","    22.0","    22.3","    27.0",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262026","Willway Elementary","1","8","4","","    17.8","    20.0","    28.3",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262026","Willway Elementary","1","7","4","","    21.8","    22.1","    28.5",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262026","Willway Elementary","1","7","4","","    21.5","    22.4","    27.0",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262026","Willway Elementary","1","8","4","","    19.4","    22.1","    25.6",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262026","Willway Elementary","1","9","5","","    15.5","    20.9","    23.4",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262031","Journey Middle School","1","185","56","1","","","    26.8","    23.6"
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262031","Journey Middle School","1","183","70","40","","","    25.5","    25.8"
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262031","Journey Middle School","1","164","77","14","","","    27.3","    24.0"
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262031","Journey Middle School","1","224","64","","","","    24.8","    24.4"
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262031","Journey Middle School","1","166","87","3","","","    23.3","    23.7"
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262031","Journey Middle School","1","175","34","","","","    27.8","    25.8"
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262031","Journey Middle School","1","202","33","","","","    25.8","    28.5"
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262031","Journey Middle School","1","201","66","","","","    25.1","    27.3"
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262031","Journey Middle School","1","181","76","","","","    23.4","    27.6"
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262031","Journey Middle School","1","17","11","","","","    27.6","    28.5"
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262031","Journey Middle School","1","19","14","1","","","    27.6","    29.3"
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262031","Journey Middle School","1","22","16","","","","    23.8","    22.1"
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262031","Journey Middle School","1","20","12","","","","    26.5","    25.0"
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262032","Lakewood Elementary","1","13","7","","    20.5","    20.0","    28.2",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262032","Lakewood Elementary","1","13","3","","    20.8","    21.3","    29.8",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262032","Lakewood Elementary","1","13","5","","    21.7","    23.5","    28.8",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262032","Lakewood Elementary","1","13","3","","    21.8","    23.5","    30.0",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262032","Lakewood Elementary","1","15","3","","    16.0","    24.0","    29.5",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262032","Lakewood Elementary","1","17","4","","    21.7","    23.0","    29.0",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262032","Lakewood Elementary","1","18","5","","    17.7","    23.5","    28.9",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262032","Lakewood Elementary","1","18","11","","    22.0","    23.0","    28.8",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262032","Lakewood Elementary","1","18","9","","    22.0","    23.3","    27.7",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262032","Lakewood Elementary","1","17","13","","    20.3","    22.7","    28.6",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262032","Lakewood Elementary","1","18","10","","    19.6","    22.9","    27.0",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262032","Lakewood Elementary","1","20","15","","    19.3","    21.0","    25.8",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262032","Lakewood Elementary","1","20","11","","    19.3","    22.2","    27.0",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262033","Edward Milne Community School","1","147","14","12","","","","    25.2"
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262033","Edward Milne Community School","1","153","22","5","","","","    22.3"
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262033","Edward Milne Community School","1","118","9","12","","","","    23.1"
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262033","Edward Milne Community School","1","127","11","21","","","","    24.9"
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262033","Edward Milne Community School","1","130","18","10","","","","    23.8"
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262033","Edward Milne Community School","1","76","12","4","","","","    24.5"
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262033","Edward Milne Community School","1","118","27","1","","","","    21.8"
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262033","Edward Milne Community School","1","168","26","","","","","    19.0"
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262033","Edward Milne Community School","1","121","32","9","","","","    23.6"
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262033","Edward Milne Community School","1","98","24","","","","","    22.5"
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262033","Edward Milne Community School","1","99","24","","","","","    22.3"
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262033","Edward Milne Community School","1","129","25","","","","","    19.8"
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262033","Edward Milne Community School","1","120","25","3","","","","    22.7"
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262034","Ecole Poirier Elementary","1","15","5","","    21.3","    22.1","    25.4",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262034","Ecole Poirier Elementary","1","16","4","","    17.0","    21.3","    26.5",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262034","Ecole Poirier Elementary","1","16","7","","    20.3","    20.0","    28.0",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262034","Ecole Poirier Elementary","1","17","7","","    21.7","    18.9","    28.1",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262034","Ecole Poirier Elementary","1","18","5","","    13.3","    21.3","    25.2",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262034","Ecole Poirier Elementary","1","18","4","","    21.7","    19.9","    25.7",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262034","Ecole Poirier Elementary","1","16","10","","    22.0","    23.4","    28.8",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262034","Ecole Poirier Elementary","1","18","12","","    21.3","    21.8","    26.3",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262034","Ecole Poirier Elementary","1","18","9","","    20.8","    22.7","    28.6",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262034","Ecole Poirier Elementary","1","18","6","","    17.3","    23.3","    27.6",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262034","Ecole Poirier Elementary","1","17","7","","    20.7","    23.0","    28.1",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262034","Ecole Poirier Elementary","1","17","5","","    18.8","    21.8","    25.7",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262034","Ecole Poirier Elementary","1","18","18","","    18.6","    20.8","    25.3",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262035","Colwood Elementary","1","10","4","","    13.5","    21.3","    25.3",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262035","Colwood Elementary","1","8","4","","    20.0","    22.2","    27.2",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262035","Colwood Elementary","1","8","5","","    20.0","    16.9","    27.9",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262035","Colwood Elementary","1","9","4","","    17.5","    15.8","    30.0",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262035","Colwood Elementary","1","8","7","","    22.0","    17.3","    25.7",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262035","Colwood Elementary","1","9","9","","    19.0","    18.5","    25.5",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262035","Colwood Elementary","1","9","7","","    17.5","    21.7","    27.0",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262035","Colwood Elementary","1","9","7","","    16.0","    22.2","    23.5",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262035","Colwood Elementary","1","8","8","","    21.7","    23.3","    27.3",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262035","Colwood Elementary","1","7","6","","    20.0","    22.3","    27.0",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262035","Colwood Elementary","1","7","6","","    21.4","    23.3","    28.5",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","062","Sooke","06262035","Colwood Elementary","1","9","6","","    19.0","    20.0","    23.4",""
