District Number,School Code,School Name,Address,City,Province,Postal Code,Principal Title,Principal First name,Principal Last Name,Type,Grade Range,School Category,Funding Group(s),NLC: Early Learning,NLC: Afterschool,NLC: Cont. Ed.,NLC: Seniors,NLC: Comm. Sport,NLC: Comm. Use,NLC: Integr. Svcs.,Phone,Fax,Email,Enrolment Total,Enrolment As Of,KH Enrolment,KF Enrolment,HS Registration,SU Enrolment,EU Enrolment,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
048,04848026,Don Ross Middle School,PO Box 299,Brackendale                   ,BC             ,V0N 1H0,Mr,Cory,Hartling,Standard School                         ,"7-9, SU",Public School,,no,no,no,no,no,no,no,604 898-3671,604 898-4672,chartling@sd48.bc.ca                                                                                ,614,September 30 2018,0,0,0,19,0,0,0,0,0,0,0,226,190,179,0,0,0
059,05959013,Don Titus Montessori,PO Box 538,Chetwynd                      ,BC             ,V0C 1J0,Ms,Daun,Newman,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 788-2531,250 788-2532,dnewman@sd59.bc.ca                                                                                  ,96,September 30 2018,0,17,0,0,0,9,10,14,12,16,12,6,0,0,0,0,0
059,05925283,Don Titus StrongStart Centre,PO Box 538,Chetwynd                      ,BC             ,V0C 1J0,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 788-2531,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
038,03838030,Donald E McKay Elementary,7360 Lombard Rd,Richmond                      ,BC             ,V7C 3N1,Mrs,Marilyn,Turnbull,Standard School                         ,K-7,Public School,,no,yes,no,no,no,no,no,604 668-6470,604 668-6509,mckay@sd38.bc.ca                                                                                    ,199,September 30 2018,0,37,0,0,0,25,12,21,25,25,28,26,0,0,0,0,0
061,06161028,Doncaster Elementary,1525 Rowan St,Victoria                      ,BC             ,V8P 1X4,Ms,Cindy,Harte,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,250 595-3611,250 598-5947,charte@sd61.bc.ca                                                                                   ,407,September 30 2018,0,70,0,0,0,60,75,68,68,66,0,0,0,0,0,0,0
034,03434043,Dormick Park Elementary,32161 Dormick Ave,Abbotsford                    ,BC             ,V2T 1J6,Ms,Rachel,Lack,Standard School                         ,K-5,Public School,,yes,no,no,no,no,no,no,604 859-3712,604 850-7693,rachel.lack@abbyschools.ca,324,September 30 2018,0,51,0,0,0,59,52,55,61,46,0,0,0,0,0,0,0
034,03425102,Dormick Park StrongStart Centre,32161 Dormick Ave,Abbotsford                    ,BC             ,V2T 1J6,Ms,Rachel,Lack,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 859-3712,604 850-7693,rachel.lack@abbyschools.ca,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
023,02323030,Dorothea Walker Elementary,4346 Gordon Dr,Kelowna                       ,BC             ,V1W 1S5,Mrs,Susan,Bergen,Standard School                         ,K-6,Public School,,no,no,no,no,no,no,no,250 870-5138,250 870-5024,susan.bergen@sd23.bc.ca                                                                             ,510,September 30 2018,0,58,0,0,0,74,68,74,66,74,96,0,0,0,0,0,0
044,04444048,Dorothy Lynas Elementary,4000 Inlet Cres,North Vancouver               ,BC             ,V7G 2R2,Ms,Megan,Wheatley,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 903-3430,604 903-3431,mwheatley@sd44.ca                                                                                   ,549,September 30 2018,0,66,0,0,0,77,61,73,75,58,60,79,0,0,0,0,0
035,03535053,Dorothy Peacock Elementary,20292 91A Ave,Langley                       ,BC             ,V1M 2G2,Mr,Shawn,Davids,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 513-8000,604 513-8008,sdavids@gov.bc.ca                                                                                   ,489,September 30 2018,0,55,0,0,0,50,73,63,73,58,58,59,0,0,0,0,0
039,03925121,Douglas Elementary Strong Start,2150 Brigadoon Ave,Vancouver                     ,BC             ,V5P 3Z7,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 713-4817,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
035,03535045,Douglas Park Community,5409 206 St,Langley                       ,BC             ,V3A 2C5,Ms,Diana,Wilk,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 533-4491,604 533-7803,dwilk@sd35.bc.ca                                                                                    ,227,September 30 2018,0,35,0,0,0,44,45,30,33,40,0,0,0,0,0,0,0
035,03525107,Douglas Park StrongStart Centre,5409 206 St,Langley                       ,BC             ,V3A 2C5,Ms,Diana,Wilk,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 533-4491,,dwilk@sd35.bc.ca                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,04141026,Douglas Road Elementary,4861 Canada Way,Burnaby                       ,BC             ,V5G 1L7,Ms,Pauline,McKay,Standard School                         ,K-7,Public School,,no,yes,no,no,no,no,no,604 296-9011,604 296-9057,pauline.mckay@burnabyschools.ca,240,September 30 2018,0,26,0,0,0,35,39,29,31,25,29,26,0,0,0,0,0
068,06868010,Dover Bay Secondary,6135 McGirr Rd,Nanaimo                       ,BC             ,V9V 1M1,Mr,Chad,Lintott,Standard School                         ,8-12,Public School,,no,no,no,no,no,no,no,250 756-4595,250 751-3405,clintott1@sd68.bc.ca                                                                                ,1400,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,254,256,307,295,288
039,03939095,Dr A R Lord Elementary,555 Lillooet St,Vancouver                     ,BC             ,V5K 4G4,Ms,Margie,Trovao,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 713-4620,604 713-4622,mtrovao@vsb.bc.ca                                                                                   ,184,September 30 2018,0,28,0,0,0,23,20,24,24,28,17,20,0,0,0,0,0
039,03939104,Dr Annie B Jamieson Elementary,5987 Prince Albert St,Vancouver                     ,BC             ,V5W 3E2,Mr,Christopher,Wong,Standard School                         ,K-7,Public School,,no,yes,no,no,yes,yes,no,604 713-5367,604 713-5369,jamieson@vsb.bc.ca                                                                                  ,477,September 30 2018,0,60,0,0,0,42,51,51,74,60,80,59,0,0,0,0,0
051,05112001,Dr D A Perley Elementary,PO Box 908,Grand Forks                   ,BC             ,V0H 1H0,Mr,Bob,Chapman,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 442-2135,250 442-5913,bob.chapman@sd51.bc.ca                                                                              ,243,September 30 2018,0,34,0,0,0,28,22,27,26,24,44,38,0,0,0,0,0
051,05125277,Dr D A Perley StrongStart Centre,PO Box 908,Grand Forks                   ,BC             ,V0H 1H0,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 442-2135,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
036,03636037,Dr F D Sinclair Elementary,7480 128 St,Surrey                        ,BC             ,V3W 4E5,Ms,Rachel,Der,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 596-1537,604 596-8271,drfdsinclair@surreyschools.ca,486,September 30 2018,0,51,0,0,0,61,53,57,75,73,62,54,0,0,0,0,0
039,03939105,Dr George M Weir Elementary,2900 44th Ave E,Vancouver                     ,BC             ,V5R 3A8,Ms,H,Gascoigne,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 713-4771,604 713-4773,hgascoigne@vsb.bc.ca                                                                                ,436,September 30 2018,0,39,0,0,0,56,50,48,55,71,56,61,0,0,0,0,0
039,03939115,Dr H N MacCorkindale Elementary,6100 Battison St,Vancouver                     ,BC             ,V5S 3M8,Mr,James,Munk,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 317-4290,604 713-4757,jmunk@vsb.bc.ca                                                                                     ,249,September 30 2018,0,20,0,0,0,41,31,29,36,40,30,22,0,0,0,0,0
060,06060063,Dr Kearney Middle School,10723 92 St,Fort St John                  ,BC             ,V1J 3J4,Mr,Sheldon,Steele,Standard School                         ,7-9,Public School,,no,no,no,no,no,no,no,250 785-8378,250 785-1678,ssteele@prn.bc.ca                                                                                   ,549,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,174,184,191,0,0,0
023,02323029,Dr Knox Middle School,121 Drysdale Blvd,Kelowna                       ,BC             ,V1V 2X9,Mr,Trent,Dolgopol,Standard School                         ,"7-9, SU",Public School,,no,no,no,no,no,no,no,250 870-5130,250 870-5007,drk@sd23.bc.ca                                                                                      ,815,September 30 2018,0,0,0,8,0,0,0,0,0,0,0,278,288,241,0,0,0
039,03939097,Dr R E McKechnie Elementary,7455 Maple St,Vancouver                     ,BC             ,V6P 5P8,Mrs,Ankie,Carswell,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 713-4952,604 713-4954,acarswell@vsb.bc.ca                                                                                 ,273,September 30 2018,0,36,0,0,0,31,31,23,26,41,51,34,0,0,0,0,0
034,03434055,Dr Roberta Bondar Elementary,32717 Chilcotin Dr,Abbotsford                    ,BC             ,V2T 5S5,Ms,Paulette,Collier,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 864-8572,604 864-2777,paulette.collier@abbyschools.ca,298,September 30 2018,0,58,0,0,0,49,44,53,45,49,0,0,0,0,0,0,0
034,03434045,Dr Thomas A Swift Elementary,34800 Mierau St,Abbotsford                    ,BC             ,V2S 5Y4,Mrs,Cathy,Erickson,Standard School                         ,K-5,Public School,,yes,no,no,no,no,no,no,604 853-7730,604 850-7851,cathy.erickson@abbyschools.ca,334,September 30 2018,0,58,0,0,0,54,57,60,46,59,0,0,0,0,0,0,0
034,03425227,Dr Thomas A Swift StrongStart Centre,34800 Mierau St,Abbotsford                    ,BC             ,V2S 5Y4,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 853-7730,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
028,02828021,Dragon Lake Elementary,2671 Hydraulic Rd,Quesnel                       ,BC             ,V2J 4H4,Mrs,Jan,Musselman,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 747-2142,250 747-2498,janmusselman@sd28.bc.ca                                                                             ,186,September 30 2018,0,19,0,0,0,14,23,27,28,27,31,17,0,0,0,0,0
028,02825002,Dragon Lake StrongStart Centre,2671 Quesnel-Hydraulic Rd,Quesnel                       ,BC             ,V2J 4H4,Mrs,Jan,Musselman,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 747-2142,250 747-2498,jamusselman@sd28.bc.ca                                                                              ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
079,07965024,Drinkwater Elementary,6236 Lane Rd,Duncan                        ,BC             ,V9L 4E1,Ms,Karen,Petersen,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 748-9232,250 748-2683,kapeters@sd79.bc.ca                                                                                 ,383,September 30 2018,0,45,2,0,0,42,35,47,44,50,67,53,0,0,0,0,0
079,07925026,Drinkwater StrongStart Centre,6236 Lane Rd,Duncan                        ,BC             ,V9L 4E1,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 748-9232,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
093,09337031,du Bois-Joli,785 49 St,Tsawwassen                    ,BC             ,V4M 2P3,Mrs,Melanie,Voyer,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 948-7007,604 948-7001,melanie_voyer@csf.bc.ca                                                                             ,55,September 30 2018,0,9,0,0,0,8,6,3,9,8,2,10,0,0,0,0,0
093,09346003,du Pacifique,PO Box 390,Sechelt                       ,BC             ,V0N 3A0,Mme,Cecile,Desgagne,Standard School                         ,K-7,Public School,,yes,no,no,no,no,no,no,604 885-4743,604 885-4786,cecile_desgagne@csf.bc.ca                                                                           ,62,September 30 2018,0,6,1,0,0,6,5,9,8,11,9,8,0,0,0,0,0
057,05757012,Duchess Park Secondary,747 Winnipeg St,Prince George                 ,BC             ,V2L 2V3,Mr,Lee,Karpenko,Standard School                         ,8-12,Public School,,no,no,no,no,no,no,no,250 563-7124,250 564-6592,lkarpenko@sd57.bc.ca                                                                                ,1016,September 30 2018,0,0,1,0,0,0,0,0,0,0,0,0,195,228,203,203,187
073,07324072,Dufferin Elementary,1880 Hillside Dr,Kamloops                      ,BC             ,V2E 2E2,Ms,Colleen,Topolovec,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 374-4425,250 377-2262,ctopolovec@sd73.bc.ca                                                                               ,213,September 30 2018,0,26,0,0,0,25,27,22,30,24,26,33,0,0,0,0,0
079,07996086,Duncan Christian School,495 Beech Ave,Duncan                        ,BC             ,V9L 3J8,Mr,Jeremy,Tinsley,Standard School                         ,K-12,Independent School,1,no,no,no,no,no,no,no,250 746-3654,250 746-3615,jtinsley@duncanchristian.com,368,September 30 2018,5,18,2,0,0,24,21,17,31,21,31,29,35,27,40,32,37
060,06060058,Duncan Cran Elementary,8130 89 Ave,Fort St John                  ,BC             ,V1J 5S5,Mr,Griff,Peet,Standard School                         ,K-6,Public School,,no,no,no,no,no,no,no,250 787-0417,250 785-1581,gpeet@prn.bc.ca                                                                                     ,306,September 30 2018,0,60,0,0,0,28,42,45,48,34,49,0,0,0,0,0,0
060,06025061,Duncan Cran StrongStart Centre,8130 89 Ave,Fort St John                  ,BC             ,V1J 5S5,Ms,Tracey,Sawchuk,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 787-0417,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
062,06262016,Dunsmuir Middle School,3341 Painter Rd,Victoria                      ,BC             ,V9C 2J1,Mr,Mark,Kaercher,Standard School                         ,6-8,Public School,,no,no,no,no,yes,yes,no,250 478-5548,250 478-0738,dunsmuir@sd62.bc.ca                                                                                 ,803,September 30 2018,0,0,0,0,0,0,0,0,0,0,281,263,259,0,0,0,0
045,04545040,Eagle Harbour Montessori,5575 Marine Dr,West Vancouver                ,BC             ,V7W 2R4,Mr,Trevor,Kolkea,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 981-1380,604 981-1381,tkolkea@wvschools.ca                                                                                ,72,September 30 2018,0,11,0,0,0,11,16,19,10,5,0,0,0,0,0,0,0
045,04525145,Eagle Harbour StrongStart Centre,5575 Marine Dr,West Vancouver                ,BC             ,V7W 2R4,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 981-1380,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
043,04343110,Eagle Mountain Middle School,110 Dogwood Dr,Anmore                        ,BC             ,V3H 5G1,Mr,Darren,MacMillan,Standard School                         ,6-8,Public School,,yes,yes,no,no,no,no,no,604 469-1133,604 937-8065,dmacmillan@sd43.bc.ca                                                                               ,587,September 30 2018,0,0,0,0,0,0,0,0,0,0,201,199,187,0,0,0,0
043,04343020,Eagle Ridge Elementary,1215 Falcon Dr,Coquitlam                     ,BC             ,V3E 1X9,Mr,Don,Hutchinson,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 464-5848,604 937-8011,dhutchinson@sd43.bc.ca                                                                              ,383,September 30 2018,0,49,0,0,0,61,63,62,67,81,0,0,0,0,0,0,0
083,08383044,Eagle River Secondary,PO Box 9,Sicamous                      ,BC             ,V0E 2V0,Mr,Mark,Marino,Standard School                         ,7-12,Public School,,no,no,yes,yes,yes,yes,no,250 836-2831,250 804-7784,ers@sd83.bc.ca                                                                                      ,147,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,28,17,21,30,26,25
061,06161067,Eagle View Elementary,97 Talcott Rd,Victoria                      ,BC             ,V9B 6L9,Mrs,Jana,Relf,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,250 744-2701,250 744-2703,jrelf@sd61.bc.ca                                                                                    ,234,September 30 2018,0,38,1,0,0,35,44,40,40,37,0,0,0,0,0,0,0
085,08585023,Eagle View Elementary,PO Box 369,Port Hardy                    ,BC             ,V0N 2P0,Ms,Jillian,Walkus,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 949-6418,250 949-6485,jwalkus@sd85.bc.ca                                                                                  ,257,September 30 2018,0,28,0,0,0,27,34,24,44,43,28,29,0,0,0,0,0
036,03636105,Earl Marriott Secondary,15751 16 Ave,Surrey                        ,BC             ,V4A 1S1,Mr,Ken,Hignell,Standard School                         ,8-12,Public School,,no,no,no,no,no,no,no,604 531-8354,604 531-6174,earlmarriott@surreyschools.ca,1842,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,396,365,366,398,317
033,03333010,East Chilliwack Elementary,49190 Chilliwack Central Rd,Chilliwack                    ,BC             ,V2P 6H3,Mrs,Janine,McCurdy,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 794-7533,604 794-3827,janine_mccurdy@sd33.bc.ca                                                                           ,298,September 30 2018,0,57,0,0,0,47,47,44,60,43,0,0,0,0,0,0,0
036,03636018,East Kensington Elementary,2795 184 St,Surrey                        ,BC             ,V3S 9V2,Mr,Chris,Baldry,Standard School                         ,K-4,Public School,,no,no,no,no,no,no,no,604 541-1257,604 531-4180,eastkensington@surreyschools.ca,57,September 30 2018,0,25,0,0,0,14,9,7,2,0,0,0,0,0,0,0,0
044,04444017,Eastview Elementary,1801 Mountain Hwy,North Vancouver               ,BC             ,V7J 2M7,Mr,Rick,Chan,Standard School                         ,K-7,Public School,,yes,no,no,no,yes,no,no,604 903-3520,604 903-3521,rchan@sd44.ca                                                                                       ,270,September 30 2018,0,33,0,0,0,36,33,28,39,38,35,28,0,0,0,0,0
044,04425142,Eastview StrongStart Centre,1801 Mountain Hwy,North Vancouver               ,BC             ,V7J 2M7,Mr,Rick,Chan,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 903-3520,604 903-3521,rchan@sd44.ca                                                                                       ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
039,03996764,Eaton Arrowsmith School,204-6190 Agronomy Rd,Vancouver                     ,BC             ,V6T 1Z3,Mrs,Sarah,Cohen,Standard School                         ,1-11,Independent School,3,no,no,no,no,no,no,no,604 264-8327,604 222-8327,scohen@eatonarrowsmith.com,59,September 30 2018,0,0,0,0,0,1,5,6,8,7,10,6,10,5,0,1,0
036,03696863,Eaton Arrowsmith School White Rock,300-1538 Foster St,White Rock                    ,BC             ,V4B 3X8,Mr,Kelsey,Hanna,Standard School                         ,2-10,Independent School,3,no,no,no,no,no,no,no,604 538-1710,604 538-1709,khanna@eatonarrowsmith.com,13,September 30 2018,0,0,0,0,0,0,1,2,2,1,0,4,0,2,1,0,0
054,05496064,Ebenezer Canadian Reformed School,PO Box 3700,Smithers                      ,BC             ,V0J 2N0,Mr,Derek,Stoffels,Standard School                         ,K-12,Independent School,1,no,no,no,no,no,no,no,250 847-3492,250 847-3912,office@ebenezerschool.com                                                                           ,246,September 30 2018,17,0,8,0,0,15,20,25,19,24,26,20,20,15,19,17,9
072,07272035,Eblend,740 Robron Rd,Campbell River                ,BC             ,V9W 6J7,Mr,Kai,Taylor,Distributed Learning Programs           ,"K-12, SU",Public School,,no,no,no,no,no,no,no,250 923-4918,250 923-4932,kai.taylor@sd72.bc.ca                                                                               ,130,September 30 2018,0,2,0,1,0,3,3,0,5,2,2,3,5,4,3,39,58
091,09199085,Ebus Academy,PO Bag 8000,Vanderhoof                    ,BC             ,V0J 3A0,Mr,Brian,Naka,Distributed Learning Programs           ,"K-12, GA",Public School,,no,no,no,no,no,no,no,250 567-4413,250 567-3943,bnaka@sd91.bc.ca                                                                                    ,2360,September 30 2018,0,20,1,0,0,24,18,30,31,42,33,37,58,67,274,348,1081
028,02825219,Ecole Baker StrongStart Centre,610 Wade Ave,Quesnel                       ,BC             ,V2J 1E3,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 992-8383,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
043,04343093,Ecole Banting Middle,820 Banting St,Coquitlam                     ,BC             ,V3J 4J4,Mr,Bill,Trask,Standard School                         ,6-8,Public School,,no,no,no,no,no,no,no,604 939-9247,604 939-7623,btrask@sd43.bc.ca                                                                                   ,509,September 30 2018,0,0,0,0,0,0,0,0,0,0,142,174,193,0,0,0,0
045,04545025,Ecole Cedardale,595 Burley Dr,West Vancouver                ,BC             ,V7T 1Z3,Ms,Michelle,LaBounty,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 981-1390,604 981-1001,mlabounty@wvschools.ca                                                                              ,285,September 30 2018,0,33,0,0,0,31,35,36,35,35,34,46,0,0,0,0,0
060,06060007,Ecole Central Elem School of the Arts,10215 99 Ave,Fort St John                  ,BC             ,V1J 1V5,Mr,Broyden,Bennett,Standard School                         ,K-6,Public School,,no,no,no,no,no,no,no,250 785-4511,250 785-2810,bbennett@prn.bc.ca                                                                                  ,286,September 30 2018,0,44,1,0,0,50,42,40,39,48,23,0,0,0,0,0,0
043,04343102,Ecole Citadel Middle,1265 Citadel Dr,Port Coquitlam                ,BC             ,V3C 5X6,Ms,Abby,Soh,Standard School                         ,6-8,Public School,,no,no,no,no,no,no,no,604 945-6187,604 937-8042,asoh@sd43.bc.ca                                                                                     ,434,September 30 2018,0,0,0,0,0,0,0,0,0,0,159,130,145,0,0,0,0
079,07979042,Ecole Cobble Hill Elementary,3642 Learning Way,Cobble Hill                   ,BC             ,V0R 1L2,Ms,Lisa,Leclerc,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 733-2307,250 743-7261,lleclerc@sd79.bc.ca                                                                                 ,376,September 30 2018,0,48,0,0,0,42,55,47,57,43,42,42,0,0,0,0,0
043,04343013,Ecole Coquitlam River Elementary,4250 Shaughnessy St,Port Coquitlam                ,BC             ,V3E 3E5,Mr,Ross,Jacobsen,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 942-0241,604 942-5941,rjacobsen@sd43.bc.ca                                                                                ,301,September 30 2018,0,50,0,0,0,54,58,62,40,37,0,0,0,0,0,0,0
072,07272031,Ecole des Deux Mondes Elementary,851 7th Ave,Campbell River                ,BC             ,V9W 4A3,Mme,Nancy,Hwang,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,250 286-0511,250 286-0938,edm@sd72.bc.ca                                                                                      ,155,September 30 2018,0,30,0,0,0,25,28,26,24,22,0,0,0,0,0,0,0
043,04343080,Ecole Dr Charles Best Secondary,2525 Como Lake Ave,Coquitlam                     ,BC             ,V3J 3R8,Ms,Heather,Murphy,Standard School                         ,9-12,Public School,,no,no,no,no,no,no,no,604 461-5581,604 937-8053,hmurphy@sd43.bc.ca                                                                                  ,1451,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,368,354,347,382
059,05959005,Ecole Frank Ross Elementary,1000 92 Ave,Dawson Creek                  ,BC             ,V1G 1C1,Mr,Shaun,Henry,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 782-5206,250 782-3204,shaun_henry@sd59.bc.ca                                                                              ,463,September 30 2018,0,74,0,0,0,64,59,58,52,51,60,45,0,0,0,0,0
043,04343018,Ecole Glen Elementary,3064 Glen Dr,Coquitlam                     ,BC             ,V3B 2P9,Ms,Nicole,Daneault,Standard School                         ,K-9,Public School,,no,no,no,no,no,no,no,604 464-6608,604 464-4586,ndaneault@sd43.bc.ca                                                                                ,509,September 30 2018,0,74,0,0,0,93,72,89,92,88,0,0,0,1,0,0,0
043,04343019,Ecole Glenayre Elementary,495 Glencoe Dr,Port Moody                    ,BC             ,V3H 1G6,Mr,Perry,Muxworthy,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 939-9214,604 939-7512,pmuxworthy@sd43.bc.ca                                                                               ,388,September 30 2018,0,52,0,0,0,49,76,72,76,63,0,0,0,0,0,0,0
040,04040013,Ecole Glenbrook Middle School,701 Park Cres,New Westminster               ,BC             ,V3L 5V4,Mr,Chris,Evans,Standard School                         ,6-8,Public School,,no,yes,no,no,yes,yes,no,604 517-5940,604 517-5941,cevans@sd40.bc.ca                                                                                   ,648,September 30 2018,0,0,0,0,0,0,0,0,0,0,234,226,188,0,0,0,0
075,07575036,Ecole Heritage Park Middle School,33700 Prentis Ave,Mission                       ,BC             ,V2V 7B1,Mrs,Linda,Ziefflie,Standard School                         ,7-9,Public School,,no,no,no,no,no,no,no,604 820-4587,604 820-4589,linda.ziefflie@mpsd.ca                                                                              ,613,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,203,207,203,0,0,0
041,04141032,Ecole Inman Elementary,3963 Brandon St,Burnaby                       ,BC             ,V5G 2P6,Mr,Kelly,Chow,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 296-9016,604 296-9061,kelly.chow@burnabyschools.ca,367,September 30 2018,0,59,0,0,0,75,56,65,29,30,31,22,0,0,0,0,0
043,04343027,Ecole Irvine Elementary,3862 Wellington St,Port Coquitlam                ,BC             ,V3B 3Z4,Ms,Laurie,Birnie,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 941-3408,604 941-3886,lbirnie@sd43.bc.ca                                                                                  ,429,September 30 2018,0,68,0,0,0,65,71,62,67,96,0,0,0,0,0,0,0
039,03939132,Ecole Jules Quesnel Elementary,3050 Crown St,Vancouver                     ,BC             ,V6R 4K9,Mrs,Eve,Gagnon,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 713-4577,604 713-4579,esgagnon@vsb.bc.ca                                                                                  ,380,September 30 2018,0,40,0,0,0,40,41,44,58,56,53,48,0,0,0,0,0
043,04343031,Ecole Kilmer Elementary,1575 Knappen St,Port Coquitlam                ,BC             ,V3C 2P8,Mr,Andrew,Corbold,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 941-3401,604 937-8019,kilmer@sd43.bc.ca                                                                                   ,281,September 30 2018,0,38,0,0,0,47,52,47,52,45,0,0,0,0,0,0,0
043,04343108,Ecole Kwayhquitlum Middle,3280 Flint St,Port Coquitlam                ,BC             ,V3B 4J2,Ms,Laurie,Ebenal,Standard School                         ,6-8,Public School,,no,no,no,no,no,no,no,604 942-1835,604 942-6701,lebenal@sd43.bc.ca                                                                                  ,706,September 30 2018,0,0,0,0,0,0,0,0,0,0,248,207,251,0,0,0,0
057,05757115,Ecole Lac des Bois,4131 Rainbow Dr,Prince George                 ,BC             ,V2M 3W3,Mrs,Anne,Smith,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 562-1164,250 564-4891,asmith@sd57.bc.ca                                                                                   ,482,September 30 2018,0,60,0,0,0,65,61,78,60,51,62,45,0,0,0,0,0
073,07324005,Ecole Lloyd George Elementary,830 Pine St,Kamloops                      ,BC             ,V2C 3A1,Mr,Alain,Blais,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 374-3174,250 377-2244,ablais@sd73.bc.ca                                                                                   ,458,September 30 2018,0,57,0,0,0,59,56,59,58,57,49,63,0,0,0,0,0
061,06161040,Ecole Macaulay Elementary,1010 Wychbury Ave,Victoria                      ,BC             ,V9A 5K6,Mme,Josee,Paris,Standard School                         ,K-5,Public School,,yes,no,no,no,no,no,no,250 385-3441,250 385-7572,macaulay@sd61.bc.ca                                                                                 ,470,September 30 2018,0,84,1,0,0,89,79,66,70,82,0,0,0,0,0,0,0
