District Number,School Code,School Name,Address,City,Province,Postal Code,Principal Title,Principal First name,Principal Last Name,Type,Grade Range,School Category,Funding Group(s),NLC: Early Learning,NLC: Afterschool,NLC: Cont. Ed.,NLC: Seniors,NLC: Comm. Sport,NLC: Comm. Use,NLC: Integr. Svcs.,Phone,Fax,Email,Enrolment Total,Enrolment As Of,KH Enrolment,KF Enrolment,HS Registration,SU Enrolment,EU Enrolment,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment,full_addr,full_addr_parsed,lat,lng,SCHOOL_YEAR,DISTRICT_NUMBER,DISTRICT_NAME,BOARDOFFICE_PHYSICAL_ADDRESS,DISTRICT_CITY,DISTRICT_PROVINCE,DISTRICT_POSTAL_CODE,DISTRICT_PHONE_NUMBER,DISTRICT_WEBSITE,X,Y
73,7324044,NorKam Senior Secondary,730 12th St,Kamloops                      ,BC             ,V2B 3C1,Mr,Jonathan,Brady,Standard School                         ,"10-12, SU",Public School,,no,no,no,no,no,no,no,250 376-1272,250 377-2225,jbrady@sd73.bc.ca                                                                                   ,786,September 30 2018,0,0,1,35,0,0,0,0,0,0,0,0,0,0,227,276,248,730 12th St Kamloops BC V2B 3C1,730+12th+St+Kamloops+BC+V2B+3C1,50.6994851,-120.3714412,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7396094,Our Lady of Perpetual Help,235 Poplar St,Kamloops                      ,BC             ,V2B 4B9,Mr,Christopher,Yuen,Standard School                         ,K-7,Independent School,1.0,no,no,no,no,no,no,no,250 376-2343,250 376-2361,christopher.yuen@olphschool.ca,160,September 30 2018,0,9,0,0,0,17,23,17,25,21,27,21,0,0,0,0,0,235 Poplar St Kamloops BC V2B 4B9,235+Poplar+St+Kamloops+BC+V2B+4B9,50.69478119999999,-120.3616977,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7373079,Pacific Way Elementary,2330 Pacific Way,Kamloops                      ,BC             ,V1S 1Z3,Mr,Anthoney,Rempel,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 851-0632,250 377-2255,arempel@sd73.bc.ca                                                                                  ,355,September 30 2018,0,36,0,0,0,46,44,42,50,41,53,43,0,0,0,0,0,2330 Pacific Way Kamloops BC V1S 1Z3,2330+Pacific+Way+Kamloops+BC+V1S+1Z3,50.6376156,-120.3711001,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7324054,Parkcrest Elementary,2170 Parkcrest Ave,Kamloops                      ,BC             ,V2B 4Y1,Ms,Catherine,Gorman,Standard School                         ,K-6,Public School,,no,no,no,no,no,no,no,250 554-2368,250 377-2224,cgorman@sd73.bc.ca                                                                                  ,361,September 30 2018,0,42,0,0,0,50,57,50,51,53,58,0,0,0,0,0,0,2170 Parkcrest Ave Kamloops BC V2B 4Y1,2170+Parkcrest+Ave+Kamloops+BC+V2B+4Y1,50.7083918,-120.4072331,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7324067,Pinantan Elementary,General Delivery,Pinantan Lake                 ,BC             ,V0E 3E1,Mr,Chris,Wood,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 573-3234,250 377-2233,cdwood@sd73.bc.ca                                                                                   ,55,September 30 2018,0,13,0,0,0,4,2,4,8,7,13,4,0,0,0,0,0,General Delivery Pinantan Lake BC V0E 3E1,General+Delivery+Pinantan+Lake+BC+V0E+3E1,50.7239758,-120.024057,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7326012,Raft River Elementary,801 Clearwater Village Rd,Clearwater                    ,BC             ,V0E 1N1,Ms,Lori,Bradstock,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 674-2218,250 377-2251,lbradstock@sd73.bc.ca                                                                               ,275,September 30 2018,0,37,0,0,0,38,21,35,33,33,47,31,0,0,0,0,0,801 Clearwater Village Rd Clearwater BC V0E 1N1,801+Clearwater+Village+Rd+Clearwater+BC+V0E+1N1,51.64723,-120.009454,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7325175,Raft River StrongStart Centre,PO Box 1312,Clearwater                    ,BC             ,V0E 1N0,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 674-2218,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PO Box 1312 Clearwater BC V0E 1N0,PO+Box+1312+Clearwater+BC+V0E+1N0,51.643885,-120.032348,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7324034,Rayleigh Elementary,306 Puett Ranch Rd,Kamloops                      ,BC             ,V2H 1M9,Mr,Shaun,McKenna,Standard School                         ,K-6,Public School,,no,no,no,no,no,no,no,250 578-7229,250 377-2246,smckenna@sd73.bc.ca                                                                                 ,211,September 30 2018,0,28,0,0,0,21,26,31,31,41,33,0,0,0,0,0,0,306 Puett Ranch Rd Kamloops BC V2H 1M9,306+Puett+Ranch+Rd+Kamloops+BC+V2H+1M9,50.7975255,-120.3162248,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7324056,Robert L Clemitson Elementary,5990 Todd Rd,Kamloops                      ,BC             ,V2C 5B7,Ms,Mark,Orr,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 573-3227,250 573-2419,morr@sd73.bc.ca                                                                                     ,328,September 30 2018,0,43,2,0,0,21,41,42,48,41,45,47,0,0,0,0,0,5990 Todd Rd Kamloops BC V2C 5B7,5990+Todd+Rd+Kamloops+BC+V2C+5B7,50.6491907,-120.1665322,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7324057,Sa-hali Secondary,255 Arrowstone Dr,Kamloops                      ,BC             ,V2C 1P8,Ms,Rachael,Sdoutz,Standard School                         ,"8-12, SU",Public School,,no,no,no,no,no,no,no,250 374-0861,250 377-2259,rsdoutz@sd73.bc.ca                                                                                  ,923,September 30 2018,0,0,0,38,0,0,0,0,0,0,0,0,188,176,164,182,175,255 Arrowstone Dr Kamloops BC V2C 1P8,255+Arrowstone+Dr+Kamloops+BC+V2C+1P8,50.6652285,-120.3451962,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7324010,Savona Elementary,PO Box 170,Savona                        ,BC             ,V0K 2J0,Ms,Krista,Halland,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 373-2520,250 377-2240,khalland@sd73.bc.ca                                                                                 ,41,September 30 2018,0,4,0,0,0,3,6,6,7,8,2,5,0,0,0,0,0,PO Box 170 Savona BC V0K 2J0,PO+Box+170+Savona+BC+V0K+2J0,50.8480202,-120.7011297,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7397036,Sk'elep School of Excellence,365 Pow Wow Trail,Kamloops                      ,BC             ,V2H 1H1,Mrs,Cheryl,Sebastian,Standard School                         ,K-7,Independent School,2.0,no,no,no,no,no,no,no,250 828-9777,250 314-1572,cheryl.sebastian@skelep.com,141,September 30 2018,0,17,0,0,0,18,21,19,19,19,19,9,0,0,0,0,0,365 Pow Wow Trail Kamloops BC V2H 1H1,365+Pow+Wow+Trail+Kamloops+BC+V2H+1H1,50.6800824,-120.2968382,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7397035,Skeetchestn Community School,275 Deadman Vidette Rd 09,Savona                        ,BC             ,V0K 2J0,Mr,Bryce,Ross,Standard School                         ,K-12,Independent School,2.0,no,no,no,no,no,no,no,250 373-2420,250 373-2429,sibprincipal@skeetchestn.ca,49,September 30 2018,0,5,0,0,0,2,4,5,5,6,2,9,5,1,2,2,1,275 Deadman Vidette Rd 09 Savona BC V0K 2J0,275+Deadman+Vidette+Rd+09+Savona+BC+V0K+2J0,50.8413402,-120.9459779,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7324012,South Kamloops Secondary,821 Munro St,Kamloops                      ,BC             ,V2C 3E9,Mr,Walt,Kirschner,Standard School                         ,"8-12, SU",Public School,,no,no,no,no,no,no,no,250 374-1405,250 377-2250,wkirschner@sd73.bc.ca                                                                               ,915,September 30 2018,0,0,0,26,0,0,0,0,0,0,0,0,148,189,182,185,185,821 Munro St Kamloops BC V2C 3E9,821+Munro+St+Kamloops+BC+V2C+3E9,50.6663326,-120.3199122,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7324064,South Sa-hali Elementary,1585 Summit Dr,Kamloops                      ,BC             ,V2E 1E9,Mr,Blake,Buemann,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 374-2451,250 377-2229,bbuemann@sd73.bc.ca                                                                                 ,389,September 30 2018,0,49,0,0,0,54,59,42,56,52,38,39,0,0,0,0,0,1585 Summit Dr Kamloops BC V2E 1E9,1585+Summit+Dr+Kamloops+BC+V2E+1E9,50.6567616,-120.3392667,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7396194,St Ann's Academy,205 Columbia St,Kamloops                      ,BC             ,V2C 2S7,Mr,Patrick,Niwa,Standard School                         ,"K-12, SU",Independent School,1.0,no,no,no,no,no,no,no,250 372-5452,250 372-5257,pniwa@st-anns.ca                                                                                    ,416,September 30 2018,0,24,0,2,0,22,25,26,23,24,30,30,49,42,40,38,41,205 Columbia St Kamloops BC V2C 2S7,205+Columbia+St+Kamloops+BC+V2C+2S7,50.6704825,-120.3371204,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7324068,Summit Elementary,425 Monarch Crt,Kamloops                      ,BC             ,V2E 1Y3,Ms,Linda,Hneeda,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 372-1224,250 377-2241,lhneeda@sd73.bc.ca                                                                                  ,260,September 30 2018,0,29,0,0,0,31,32,32,30,43,36,27,0,0,0,0,0,425 Monarch Crt Kamloops BC V2E 1Y3,425+Monarch+Crt+Kamloops+BC+V2E+1Y3,50.6529192,-120.3487222,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7373082,Sun Peaks Elementary School,4040 Sundance Dr,Sun Peaks                     ,BC             ,V0E 1Z1,Mr,Mike,Johnson,Standard School                         ,"K-7, EU",Public School,,no,no,no,no,no,no,no,250 578-7229,250 377-2246,mjohnson@sd73.bc.ca                                                                                 ,100,September 30 2018,0,10,0,0,3,10,9,16,12,15,17,8,0,0,0,0,0,4040 Sundance Dr Sun Peaks BC V0E 1Z1,4040+Sundance+Dr+Sun+Peaks+BC+V0E+1Z1,50.8871488,-119.8771121,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7399042,Twin Rivers Education Centre,985 Holt St,Kamloops                      ,BC             ,V2B 5H1,Mr,Cory,Carmichael,Alternate Programs                      ,7-12,Public School,,no,no,yes,no,no,no,no,250 554-3438,250 377-2234,ccarmichael@sd73.bc.ca                                                                              ,204,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,2,3,22,46,79,52,985 Holt St Kamloops BC V2B 5H1,985+Holt+St+Kamloops+BC+V2B+5H1,50.7074586,-120.3879543,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7324045,Valleyview Secondary,1950 Valleyview Dr,Kamloops                      ,BC             ,V2C 4C2,Ms,Barb,Hamblett,Standard School                         ,"8-12, SU",Public School,,no,no,no,no,no,no,no,250 372-5231,250 377-2248,bhamblett@sd73.bc.ca                                                                                ,947,September 30 2018,0,0,1,10,0,0,0,0,0,0,0,0,198,200,186,184,169,1950 Valleyview Dr Kamloops BC V2C 4C2,1950+Valleyview+Dr+Kamloops+BC+V2C+4C2,50.6759794,-120.2743654,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7326011,Vavenby Elementary,PO Box 100,Vavenby                       ,BC             ,V0E 3A0,Ms,Lori,Bradstock,Standard School                         ,K-4,Public School,,no,no,no,no,no,no,no,250 676-9242,250 377-2220,lbradstock@sd73.bc.ca                                                                               ,17,September 30 2018,0,3,0,0,0,0,6,4,4,0,0,0,0,0,0,0,0,PO Box 100 Vavenby BC V0E 3A0,PO+Box+100+Vavenby+BC+V0E+3A0,51.5867446,-119.7232142,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7324063,Westmount Elementary,745 Walkem Rd,Kamloops                      ,BC             ,V2B 7Z8,Ms,Susie,Mabee,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 376-8879,250 376-0426,smabee@sd73.bc.ca                                                                                   ,314,September 30 2018,0,32,0,0,0,46,38,36,46,37,43,36,0,0,0,0,0,745 Walkem Rd Kamloops BC V2B 7Z8,745+Walkem+Rd+Kamloops+BC+V2B+7Z8,50.7185265,-120.3584618,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7324020,Westsyde Elementary,3550 Westsyde Rd,Kamloops                      ,BC             ,V2B 7H4,Mr,Don,Poelzer,Standard School                         ,No Enrolment Reported,Public School,,no,no,no,no,no,no,no,778 696-2265,250 579-8647,dpoelzer@sd73.bc.ca                                                                                 ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550 Westsyde Rd Kamloops BC V2B 7H4,3550+Westsyde+Rd+Kamloops+BC+V2B+7H4,50.7735108,-120.3417939,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7324055,Westsyde Secondary,855 Bebek Rd,Kamloops                      ,BC             ,V2B 6P2,Mr,Chris,Preymak,Standard School                         ,"8-12, SU",Public School,,no,no,no,no,no,no,no,250 579-9271,250 377-2264,cpreymak@sd73.bc.ca                                                                                 ,670,September 30 2018,0,0,0,19,0,0,0,0,0,0,0,0,126,138,127,128,132,855 Bebek Rd Kamloops BC V2B 6P2,855+Bebek+Rd+Kamloops+BC+V2B+6P2,50.7671517,-120.3482537,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
73,7324021,Westwold Elementary,General Delivery,Westwold                      ,BC             ,V0E 3B0,Mr,Mark,Orr,Standard School                         ,No Enrolment Reported,Public School,,no,no,no,no,no,no,no,250 375-2252,250 375-2517,morr@sd73.bc.ca                                                                                     ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General Delivery Westwold BC V0E 3B0,General+Delivery+Westwold+BC+V0E+3B0,50.4723,-119.77391,2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
33,3333033,A D Rundle Middle School,45660 Hocking Ave,Chilliwack                    ,BC             ,V2P 1A1,Mr,R. Scott,Wallace,Standard School                         ,"6-8, EU, SU",Public School,,no,no,no,no,no,no,no,604 792-4257,604 792-3457,scott_wallace@sd33.bc.ca                                                                            ,354,September 30 2018,0,0,0,2,1,0,0,0,0,0,121,118,112,0,0,0,0,45660 Hocking Ave Chilliwack BC V2P 1A1,45660+Hocking+Ave+Chilliwack+BC+V2P+1A1,49.1590459,-121.961813,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3333019,Bernard Elementary,45465 Bernard Ave,Chilliwack                    ,BC             ,V2P 1H5,Ms,Deneen,Scott,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 795-7840,604 795-5943,deneen_scott@sd33.bc.ca                                                                             ,261,September 30 2018,0,39,0,0,0,54,40,37,42,49,0,0,0,0,0,0,0,45465 Bernard Ave Chilliwack BC V2P 1H5,45465+Bernard+Ave+Chilliwack+BC+V2P+1H5,49.164865,-121.966263,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3325221,Bernard StrongStart Centre,45465 Bernard Ave,Chilliwack                    ,BC             ,V2P 1H6,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 795-7840,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45465 Bernard Ave Chilliwack BC V2P 1H6,45465+Bernard+Ave+Chilliwack+BC+V2P+1H6,49.164865,-121.966263,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3396824,Cascade Christian School,45635C Yale Rd,Chilliwack                    ,BC             ,V2P 2N1,Mr,Ryan,Morrow,Standard School                         ,K-9,Independent School,1.0,no,no,no,no,no,no,no,604 793-7997,604 793-7991,office@cascadechristian.ca,126,September 30 2018,0,12,0,0,0,16,10,12,22,13,18,5,9,9,0,0,0,45635C Yale Rd Chilliwack BC V2P 2N1,45635C+Yale+Rd+Chilliwack+BC+V2P+2N1,49.1561636,-121.9615713,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3333013,Cheam Elementary,9895 Banford Rd,Chilliwack                    ,BC             ,V2P 6H3,Mr,Gardner,Iain,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 792-1416,604 792-3485,iain_gardner@sd33.bc.ca                                                                             ,249,September 30 2018,0,40,0,0,0,47,33,51,48,30,0,0,0,0,0,0,0,9895 Banford Rd Chilliwack BC V2P 6H3,9895+Banford+Rd+Chilliwack+BC+V2P+6H3,49.1814682,-121.8940674,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3396641,Chilliwack Adventist Christian School,46018 Riverside Dr,Chilliwack                    ,BC             ,V2P 3K8,Ms,Lorenna,Pardy,Standard School                         ,K-7,Independent School,1.0,no,no,no,no,no,no,no,604 792-8344,,cacschool@gmail.com                                                                                 ,18,September 30 2018,0,1,0,0,0,2,3,2,2,1,3,4,0,0,0,0,0,46018 Riverside Dr Chilliwack BC V2P 3K8,46018+Riverside+Dr+Chilliwack+BC+V2P+3K8,49.180265,-121.9514381,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3333008,Chilliwack Central Elementary Community,9435 Young Rd,Chilliwack                    ,BC             ,V2P 2P9,Ms,Leslie,Waddington,Standard School                         ,K-5,Public School,,yes,yes,yes,no,no,yes,no,604 792-8537,604 792-0104,central@sd33.bc.ca                                                                                  ,233,September 30 2018,0,46,0,0,0,32,35,36,40,44,0,0,0,0,0,0,0,9435 Young Rd Chilliwack BC V2P 2P9,9435+Young+Rd+Chilliwack+BC+V2P+2P9,49.1739553,-121.9531023,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3333004,Chilliwack Middle School,46354 Yale Rd,Chilliwack                    ,BC             ,V2P 2R1,Ms,Paula,Gosal,Standard School                         ,6-8,Public School,,no,no,no,no,no,no,no,604 795-5781,604 795-4312,paula_gosal@sd33.bc.ca                                                                              ,602,September 30 2018,0,0,0,0,0,0,0,0,0,0,213,207,182,0,0,0,0,46354 Yale Rd Chilliwack BC V2P 2R1,46354+Yale+Rd+Chilliwack+BC+V2P+2R1,49.1734322,-121.9438837,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3333012,Chilliwack Secondary,46363 Yale Rd,Chilliwack                    ,BC             ,V2P 2P8,Mr,Brian,Fehlauer,Standard School                         ,9-12,Public School,,no,yes,yes,yes,yes,yes,yes,604 795-7295,604 795-7236,brian_fehlauer@sd33.bc.ca                                                                           ,1470,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,365,353,361,391,46363 Yale Rd Chilliwack BC V2P 2P8,46363+Yale+Rd+Chilliwack+BC+V2P+2P8,49.1767214,-121.9427295,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3333000,Continuing Ed SD 33,46361 Yale Rd,Chilliwack                    ,BC             ,V2P 2P8,Mr,Brian,Fehlauer,Continuing Education                    ,"11-12, GA",Public School,,no,no,yes,no,no,no,no,604 701-4910,604 701-4970,brian_fehlauer@sd33.bc.ca                                                                           ,28,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,46361 Yale Rd Chilliwack BC V2P 2P8,46361+Yale+Rd+Chilliwack+BC+V2P+2P8,49.17452309999999,-121.9430357,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3333009,Cultus Lake Community School,71 Sunnyside Blvd,Cultus Lake                   ,BC             ,V2R 5B5,Mr,Wade,Gemmell,Standard School                         ,K-5,Public School,,no,no,no,no,no,yes,no,604 858-6266,604 858-2793,wade_gemmell@sd33.bc.ca                                                                             ,177,September 30 2018,0,29,0,0,0,28,29,35,28,28,0,0,0,0,0,0,0,71 Sunnyside Blvd Cultus Lake BC V2R 5B5,71+Sunnyside+Blvd+Cultus+Lake+BC+V2R+5B5,49.0725445,-121.9756304,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3333010,East Chilliwack Elementary,49190 Chilliwack Central Rd,Chilliwack                    ,BC             ,V2P 6H3,Mrs,Janine,McCurdy,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 794-7533,604 794-3827,janine_mccurdy@sd33.bc.ca                                                                           ,298,September 30 2018,0,57,0,0,0,47,47,44,60,43,0,0,0,0,0,0,0,49190 Chilliwack Central Rd Chilliwack BC V2P 6H3,49190+Chilliwack+Central+Rd+Chilliwack+BC+V2P+6H3,49.161274,-121.8636659,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3399056,Ed. Ctr Academic Upgrading,8855 Elm Dr,Chilliwack                    ,BC             ,V2P 4Y8,Mr,Sean,Wicker,Alternate Programs                      ,"9, SU",Public School,,no,no,no,no,no,no,no,604 792-9277,604 792-4094,sean_wicker@sd33.bc.ca                                                                              ,203,September 30 2018,0,0,0,202,0,0,0,0,0,0,0,0,0,1,0,0,0,8855 Elm Dr Chilliwack BC V2P 4Y8,8855+Elm+Dr+Chilliwack+BC+V2P+4Y8,49.162925,-121.947933,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3333039,Evans Elementary,7600 Evans Rd,Chilliwack                    ,BC             ,V2R 1L2,Mr,Steve,Klassen,Standard School                         ,K-5,Public School,,no,yes,no,no,no,no,no,604 858-3057,604 858-1796,steve_klassen@sd33.bc.ca                                                                            ,245,September 30 2018,0,35,0,0,0,34,38,51,46,41,0,0,0,0,0,0,0,7600 Evans Rd Chilliwack BC V2R 1L2,7600+Evans+Rd+Chilliwack+BC+V2R+1L2,49.13825079999999,-121.9770511,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3333030,F G Leary Fine Arts Elementary,9320 Walden St,Chilliwack                    ,BC             ,V2P 7Y2,Mr,Brad,Johnston,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 792-1281,604 792-3168,brad_johnston@sd33.bc.ca                                                                            ,262,September 30 2018,0,45,0,0,0,32,37,44,56,48,0,0,0,0,0,0,0,9320 Walden St Chilliwack BC V2P 7Y2,9320+Walden+St+Chilliwack+BC+V2P+7Y2,49.17118500000001,-121.921157,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
33,3398003,Fraser Valley Distance Education,46361 Yale Rd,Chilliwack                    ,BC             ,V2P 2P8,Mr,Sean,Wicker,Distributed Learning Programs           ,"K-12, SU, GA",Public School,,no,no,yes,no,no,no,no,604 701-4910,604 701-4970,sean_wicker@sd33.bc.ca                                                                              ,479,September 30 2018,0,1,3,1,0,2,0,3,0,2,5,4,13,16,30,161,160,46361 Yale Rd Chilliwack BC V2P 2P8,46361+Yale+Rd+Chilliwack+BC+V2P+2P8,49.17452309999999,-121.9430357,2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
